,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
364,tt1563738,One Day,Lone Scherfig,Anne Hathaway,2011,13766014.0,PG-13,7.0,133579.0,48.0
365,tt2042568,Inside Llewyn Davis,Ethan Coen,Oscar Isaac,2013,9666762.0,R,7.5,131837.0,93.0
366,tt2209418,Before Midnight,Richard Linklater,Ethan Hawke,2013,8114507.0,R,7.9,131683.0,94.0
367,tt2278871,Blue Is the Warmest Colour,Abdellatif Kechiche,Léa Seydoux,2013,46024509.0,NC-17,7.7,131422.0,88.0
368,tt2101441,Spring Breakers,Harmony Korine,James Franco,2012,13900000.0,R,5.3,132218.0,63.0
369,tt1189073,The Skin I Live In,Pedro Almodóvar,Antonio Banderas,2011,3185193.0,R,7.6,130820.0,70.0
370,tt1399683,Winter's Bone,Debra Granik,Jennifer Lawrence,2010,6200000.0,R,7.2,131822.0,90.0
371,tt4178092,The Gift,Joel Edgerton,Jason Bateman,2015,33061006.0,R,7.0,131212.0,77.0
372,tt1242460,We Need to Talk About Kevin,Lynne Ramsay,Tilda Swinton,2011,1738692.0,R,7.5,131517.0,68.0
373,tt1389137,We Bought a Zoo,Cameron Crowe,Matt Damon,2011,72700000.0,PG,7.1,130700.0,58.0
374,tt1100089,Foxcatcher,Bennett Miller,Steve Carell,2014,9744477.0,R,7.0,130323.0,81.0
375,tt1549920,The Last Stand,Jee-woon Kim,Arron Shiver,2013,12000000.0,R,6.3,130435.0,54.0
376,tt0804497,It's Kind of a Funny Story,Anna Boden,Keir Gilchrist,2010,6350058.0,PG-13,7.1,130480.0,63.0
377,tt0471042,Tower Heist,Brett Ratner,Ben Stiller,2011,78009155.0,PG-13,6.2,129668.0,59.0
378,tt3371366,Transformers: The Last Knight,Michael Bay,Mark Wahlberg,2017,130104634.0,PG-13,5.2,128801.0,27.0
379,tt1855325,Resident Evil: Retribution,Paul W.S. Anderson,Milla Jovovich,2012,42345531.0,R,5.4,129211.0,39.0
380,tt1764234,Killing Them Softly,Andrew Dominik,Brad Pitt,2012,14900000.0,R,6.2,128425.0,64.0
381,tt2692904,Locke,Steven Knight,Tom Hardy,2013,1326469.0,R,7.1,128777.0,81.0
382,tt2543472,Wonder,Stephen Chbosky,Jacob Tremblay,2017,132090170.0,PG,8.0,127803.0,66.0
383,tt2180411,Into the Woods,Rob Marshall,Anna Kendrick,2014,89789227.0,PG,5.9,127740.0,69.0
384,tt1351685,Jack the Giant Slayer,Bryan Singer,Nicholas Hoult,2013,65171860.0,PG-13,6.2,127948.0,51.0
385,tt1915581,Magic Mike,Steven Soderbergh,Matthew McConaughey,2012,113709992.0,R,6.1,127723.0,72.0
386,tt2203939,The Other Woman,Nick Cassavetes,Cameron Diaz,2014,77860761.0,PG-13,6.0,127561.0,39.0
387,tt3470600,Sing,Garth Jennings,Matthew McConaughey,2016,270322940.0,PG,7.1,125796.0,59.0
388,tt2267968,Kung Fu Panda 3,Alessandro Carloni,Jack Black,2016,128341070.0,PG,7.1,125917.0,66.0
389,tt2120120,Pixels,Chris Columbus,Adam Sandler,2015,66412009.0,PG-13,5.5,126253.0,27.0
390,tt0947810,Green Zone,Paul Greengrass,Igal Naor,2010,35000000.0,R,6.8,126149.0,63.0
391,tt4116284,The Lego Batman Movie,Chris McKay,Will Arnett,2017,175686290.0,PG,7.3,125832.0,75.0
392,tt2381111,Brooklyn,John Crowley,Saoirse Ronan,2015,30459009.0,PG-13,7.5,124789.0,88.0
393,tt6294822,The Post,Steven Spielberg,Meryl Streep,2017,80369969.0,PG-13,7.2,124991.0,83.0
394,tt1538403,The Mortal Instruments: City of Bones,Harald Zwart,Lily Collins,2013,31165421.0,PG-13,5.9,124893.0,33.0
395,tt2554274,Crimson Peak,Guillermo del Toro,Mia Wasikowska,2015,25957696.0,R,6.5,124482.0,66.0
396,tt1204975,Last Vegas,Jon Turteltaub,Michael Douglas,2013,51434214.0,PG-13,6.6,124850.0,48.0
397,tt1262416,Scream 4,Wes Craven,Lucy Hale,2011,38176892.0,R,6.1,122758.0,52.0
398,tt0842926,The Kids Are All Right,Lisa Cholodenko,Julianne Moore,2010,20803237.0,R,7.0,122931.0,86.0
399,tt1758830,This Is 40,Judd Apatow,Paul Rudd,2012,65200000.0,R,6.2,123013.0,59.0
