,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
804,tt1985966,Cloudy with a Chance of Meatballs 2,Cody Cameron,Bill Hader,2013,"$119,793,567",PG,6.4,"85,984",59
805,tt4094724,The Purge: Election Year,James DeMonaco,Frank Grillo,2016,N/A,R,6.0,"86,020",55
806,tt1470827,Monsters,Gareth Edwards,Scoot McNairy,2010,N/A,R,6.4,"85,783",63
807,tt2140379,Self/less,Tarsem Singh,Ryan Reynolds,2015,N/A,PG-13,6.5,"85,447",34
808,tt1532503,Beginners,Mike Mills,Ewan McGregor,2010,"$5,764,842",R,7.2,"85,878",81
809,tt2980592,The Guest,Adam Wingard,Dan Stevens,2014,"$642,285",R,6.7,"85,736",76
810,tt1564585,Skyline,Colin Strause,Eric Balfour,2010,"$12,000,000",PG-13,4.4,"85,254",26
811,tt1204342,The Muppets,James Bobin,Jason Segel,2011,"$88,625,922",PG,7.1,"84,999",75
812,tt5649144,The Florida Project,Sean Baker,Brooklynn Prince,2017,N/A,R,7.6,"84,247",92
813,tt1103153,Killers,Robert Luketic,Ashton Kutcher,2010,"$47,000,485",PG-13,5.4,"84,906",21
814,tt2172934,3 Days to Kill,McG,Kevin Costner,2014,N/A,PG-13,6.2,"84,718",40
